#
# Major turnaround points. 
#
# Visually generated which means mostly the points that led to large rallies (so with hindsight). 
# Dates represent 'confirmation' days, usually 3-5 days after the low of the turnaround, usually when 
# the index breaks through a major average (50d, 200d).  
#
#

Date,review comments,Notes
1999-06-04,,
1999-08-23,,
1999-10-21,still in uptrend,Dot com rally
2000-02-08,in uptrend,Dot com rally resumed
2000-04-25,,
2000-06-02,,Off the May 24 low; weak May jobs report signals the Fed is done hiking (50bp on May 16); Nasdaq +6.4% on the day
2000-08-17,,
2000-12-08,,
2001-01-03,,"Surprise intermeeting Fed cut of 50bp on Jan 3, Nasdaq +14.2% that day"
2001-04-10,,Surprise intermeeting Fed cut of 50bp on Apr 18; Nasdaq +8.1% on the day
2001-09-28,,Off the Sep 21 9/11 low
2002-03-04,,
2002-05-14,,
2002-08-15,,Off the Jul 24 low / Aug 5 retest; relief rally as the Aug 14 Sarbanes-Oxley CEO/CFO certification deadline passes without new accounting scandals
2002-10-15,,Off the Oct 2002 bear market low.
2003-01-09,,
2003-02-21,,
2003-03-17,,"Iraq war 'uncertainty lifted' rally: Bush's 48-hour ultimatum to Saddam on Mar 17, invasion begins Mar 20"
2004-04-02,,Off the Mar 24 low (Madrid bombing sell-off); blowout March jobs report (+308k) on Apr 2
2004-05-25,,Oil retreats from the $41 record on Saudi/OPEC pledge to raise output; June Fed hike fully priced
2004-08-25,,Oil pulls back from the $47 record; Google IPO priced Aug 18; end of the summer 2004 oil-shock correction
2005-05-04,missed b/c no big day,"Off the Apr 29 low; May 3 FOMC hikes 25bp but keeps 'measured pace' language, ending the spring 2005 rate-fear correction"
2005-07-08,still in uptrend,"Off the Jun 27 low / Jul 7 intraday low; market shrugs off the Jul 7 London bombings, solid June jobs report on Jul 8"
2005-10-19,,Off the Oct 13 low; strong Q3 earnings and oil retreating from post-Katrina/Rita highs ease inflation fears
2006-06-21,,
2006-08-15,,"Tame July PPI (Aug 15) and CPI (Aug 16) a week after the Aug 8 Fed pause, the first after 17 straight hikes"
2006-09-12,,
2007-08-24,,Bernanke letter to Sen. Schumer that the Fed is 'prepared to act as needed'; follows the Aug 17 discount-rate cut; subprime/quant crisis bounce
2007-12-05,,
2008-01-31,,
